selected, comments
0, yes, good
1, yes, --
2, yes, good
3, yes, good
4, yes, good
5, yes, good
6, yes, good
7, yes, good
8, yes, good
9, yes, good
11, yes, good
12, yes, good
13, yes, good
16, yes, good
17, yes, good
19, yes, good
20, yes, good
22, yes, good
23, yes, good
24, yes, good
25, yes, good
29, yes, good
31, yes, good
44, no, ---
51, yes, good
52, yes, --
59, yes, good
62, yes, --
